,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
khatanga,ru,12/9/2017,12/9/2017 14:48,0,0,71.97,102.5,-29.1,5.75
kogon,uz,12/9/2017,12/9/2017 14:00,40,74,39.72,64.55,35.6,9.17
sinnamary,gf,12/9/2017,12/9/2017 14:48,88,97,5.38,-52.95,80.84,10.78
bambous virieux,mu,12/9/2017,12/9/2017 14:00,40,69,-20.34,57.76,80.6,11.41
whitehorse,ca,12/9/2017,12/9/2017 14:00,90,84,60.72,-135.05,37.4,10.29
geraldton,au,12/9/2017,12/9/2017 14:00,36,73,-28.77,114.6,73.4,23.04
katherine,au,12/9/2017,12/9/2017 14:00,36,51,-14.47,132.27,86,8.05
kurilsk,ru,12/9/2017,12/9/2017 14:48,80,100,45.23,147.88,29.45,23.87
kudahuvadhoo,mv,12/9/2017,12/9/2017 14:48,24,100,2.67,72.89,81.83,8.32
martapura,id,12/9/2017,12/9/2017 14:00,40,88,-3.42,114.85,80.6,4.7
cairo,eg,12/9/2017,12/9/2017 14:30,0,42,30.06,31.25,68,14.99
vredefort,za,12/9/2017,12/9/2017 14:48,32,33,-27.01,27.36,81.7,11.79
chambas,cu,12/9/2017,12/9/2017 13:51,75,78,22.19,-78.91,80.6,4.7
onokhoy,ru,12/9/2017,12/9/2017 14:00,20,55,51.93,108.07,6.8,2.24
ndele,cf,12/9/2017,12/9/2017 14:48,0,27,8.41,20.65,91.64,9.33
parnarama,br,12/9/2017,12/9/2017 14:48,0,55,-5.68,-43.09,89.8,3.85
vao,nc,12/9/2017,12/9/2017 14:48,80,99,-22.67,167.48,76.21,11.01
mutsu,jp,12/9/2017,12/9/2017 14:48,88,100,41.29,141.22,35.53,14.36
dandeli,in,12/9/2017,12/9/2017 14:48,0,68,15.27,74.62,76.34,1.28
tezu,in,12/9/2017,12/9/2017 14:48,0,77,27.92,96.17,55.19,1.72
warri,ng,12/9/2017,12/9/2017 14:48,64,100,5.52,5.75,77.38,4.18
